Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis,,
1/17/19,0:39,TRAFFIC STOP,TRAFFIC STOP,DURANT/BOWDITCH,37.87158,-122.256707,,,
1/17/19,1:18,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/TELEGRAPH,37.868702,-122.259786,,,
1/17/19,2:28,PEDESTRIAN STOP,SUSPECT STOP,KINKEAD WAY,37.884212,-122.302697,,,
1/17/19,3:41,PEDESTRIAN STOP,SUSPECT STOP,REC SPRT FAC GARAGE,37.868572,-122.262722,,,
1/17/19,4:01,TRAFFIC STOP,TRAFFIC STOP,UNIVERSITY/MILVIA,37.871804,-122.270728,,,
1/17/19,5:28,DISORDERLY CONDUCT,LODGING,ESHLEMAN HALL,37.868757,-122.260388,,,
1/17/19,6:42,DISORDERLY CONDUCT,LODGING,UC BERKELEY EXTENSION,37.872093,-122.271268,,,
1/17/19,7:09,WELFARE CHECK,WELFARE CHECK,FACULTY GLADE,37.871387,-122.256604,,,
1/17/19,7:40,DISORDERLY CONDUCT,LODGING,2614 DWIGHT WAY,37.865345,-122.255598,,,
1/17/19,8:38,MISSING PERSON,MISSING PERSON -RECOVERED,UCPD,37.869286,-122.258614,,,
1/17/19,8:59,TRAFFIC STOP,TRAFFIC STOP,DURANT/COLLEGE,37.868352,-122.254452,,,
1/17/19,11:07,WELFARE CHECK,CHECK WELFARE- 911 CALL,2520 CHANNING WAY,37.866781,-122.257606,,,
1/17/19,11:12,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE -REPORT,HAAS BUSINESS SCHOOL,37.871571,-122.253767,"(MW-43-E) REPORTS SUSPICIOUS EMAILS, HAAS BUSINESS SCHOOL. ",,
1/17/19,11:53,FORGERY AND COUNTERFEITING,FRAUDULENT USE OF CREDIT CARD,HEARST FIELD ANNEX,37.869482,-122.258157,"(FA-58-E) REPORTS FRAUDULENT USE OF HER UC BLUE CARD, HEARST FIELD ANNEX. ",,
1/17/19,14:00,FORGERY AND COUNTERFEITING,FRAUDULENT USE OF CREDIT CARD,SHARED SERVICES,37.87323,-122.302232,"(FO-51-E) REPORTS FRADULENT USE OF UC BLU CARD, CSS. ",,
1/17/19,14:09,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE -REPORT,UVA-152,37.883972,-122.302924,,,
1/17/19,14:21,WELFARE CHECK,WELFARE CHECK,EUCALYPTUS GROVE,37.871515,-122.263986,,,
1/17/19,14:38,LARCENY/THEFT,PETTY THEFT -BIKE REPORT,UNIT-1,37.868137,-122.254963,"(MA-18-S) REPORTS THEFT OF BLACK CANONDALE QUICK CX BIKE, UNIT-1. LOSS $600 ",,
1/17/19,15:21,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,UVA-123,37.884739,-122.301117,,,
1/17/19,15:43,WELFARE CHECK,CHECK WELFARE- 911 CALL,ENERGY BIOSCIENCES INSTITUTE,37.874039,-122.266457,,,
1/17/19,16:04,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,ZELLERBACH PLAYHOUSE,37.869318,-122.261313,,,
1/17/19,16:41,ALL OTHER OFFENSES,DISTURBING THE PEACE,LOWER SPROUL PLAZA,37.86918,-122.260222,,,
1/17/19,16:44,ALL OTHER OFFENSES,DISTURBING THE PEACE,2420 BOWDITCH ST,37.866521,-122.256304,,,
1/17/19,17:20,SUSPICIOUS EVENT,SUSPICIOUS PERSON,MULFORD HALL,37.872675,-122.264484,,,
1/17/19,17:33,WELFARE CHECK,WELFARE CHECK,UNIT-1 SLOTTMAN,37.867556,-122.255221,,,
1/17/19,17:36,TRAFFIC STOP,TRAFFIC STOP,WURSTER HALL,37.870815,-122.254698,,,
1/17/19,18:26,LARCENY/THEFT,PETTY THEFT -REPORT,625 WEST END WAY,37.883756,-122.304652,"(MW-26-S) REPORTS THEFT OF COMPUTER, 625 WEST END WAY, UVA. LOSS $899.40 ",,
1/17/19,19:50,TRAFFIC STOP,TRAFFIC STOP,2400 BLK DURANT,37.867421,-122.260882,,,
1/17/19,20:04,TRAFFIC STOP,TRAFFIC STOP,HASTE/BOWDITCH,37.866327,-122.256339,,,
1/17/19,20:05,TRAFFIC STOP,TRAFFIC STOP,2500 BLK DURANT,37.86764,-122.258615,,,
1/17/19,20:12,TRAFFIC STOP,TRAFFIC STOP,2400 BANCROFT WAY,37.86849,-122.261161,,,
1/17/19,20:25,TRAFFIC STOP,TRAFFIC STOP,UNIVERSITY/MILVIA,37.871804,-122.270728,,,
1/17/19,20:38,TRAFFIC STOP,TRAFFIC STOP,REC SPRT FAC,37.868572,-122.262722,,,
1/17/19,20:46,TRAFFIC STOP,TRAFFIC STOP,CHANNING/ELLSWORTH,37.866334,37.866334,,,
1/17/19,20:52,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/ELLSWORTH,37.86817,-122.264091,,,
1/17/19,20:55,TRAFFIC STOP,TRAFFIC STOP,2500 BANCROFT WAY,37.868642,-122.259063,,,
1/17/19,21:16,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/OXFORD,37.867848,-122.265899,,,
1/17/19,21:23,TRAFFIC STOP,TRAFFIC STOP,HEARST/LECONTE,37.874666,-122.263868,,,
1/17/19,21:40,TRAFFIC STOP,TRAFFIC STOP,DUR-DANA,37.867479,-122.261205,,,
1/17/19,22:32,LARCENY/THEFT,AUTO BURGLARY -REPORT,CLARK KERR CAMPUS,37.864256,-122.248801,"(FW-18-S) REPORTS BURGLARY TO HER VEHICLE VIA WINDOW SMASH, CKC. ",,
1/17/19,22:42,PEDESTRIAN STOP,SUSPECT STOP,PEOPLES PARK,37.86582,-122.257058,,,
1/17/19,22:45,PEDESTRIAN STOP,SUSPECT STOP,PEOPLES PARK,37.86582,-122.257058,,,
1/17/19,23:13,LARCENY/THEFT,AUTO BURGLARY -REPORT,BANWAY LOT,37.867904,-122.266867,"(MW-32-E) REPORTS BURGLARY TO HIS VEHICLE VIA WINDOW SMASH, BANWAY LOT. LOSS $1825. ",,
,,,,,,,,,
,,,,,,,,,
