Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis,,
2/5/2019,0:30,PEDESTRIAN STOP,SUSPECT STOP,KINKEAD/RED OAK,0,0,N/A,,
2/5/2019,0:31,TRAFFIC STOP,TRAFFIC STOP,DWIGHT/IFO ROCHDALE,0,0,N/A,,
2/5/2019,0:38,PEDESTRIAN STOP,SUSPECT STOP,MLK,37.869249,-122.25967,N/A,,
2/5/2019,0:45,PEDESTRIAN STOP,SUSPECT STOP,JACKSON/MONROE,37.884094,-122.299843,N/A,,
2/5/2019,0:49,PEDESTRIAN STOP,SUSPECT STOP,UNDERHILL LOT,37.866947,-122.254817,N/A,,
2/5/2019,0:55,TRAFFIC STOP,TRAFFIC STOP,COLLEGE/DURANT,37.86834,-122.254451,N/A,,
2/5/2019,0:59,PEDESTRIAN STOP,SUSPECT STOP,UNDERHILL LOT,37.866947,-122.254817,N/A,,
2/5/2019,1:03,TRAFFIC STOP,TRAFFIC STOP,UVA OFFICE IFO,0,0,N/A,,
2/5/2019,1:12,PEDESTRIAN STOP,SUSPECT STOP,ANNA HEAD,37.866336,-122.257558,N/A,,
2/5/2019,1:41,VANDALISM,MALICIOUS MISCHIEF - REPORT,HILDEBRAND HALL,37.872548,-122.255693,"VANDALISM VIA RED SPRAY PAINT, HILDEBRAND HALL.",,
2/5/2019,1:46,OUTSIDE ASSIST,OUTSIDEASSIST - BPD,2518 DURANT AV,0,0,N/A,,
2/5/2019,2:46,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,DURANT /ELLSWORTH,37.867229,-122.263207,N/A,,
2/5/2019,7:21,DISORDERLY CONDUCT,LODGING,REC SPRT FAC GARAGE,37.868572,-122.262722,N/A,,
2/5/2019,10:36,TOW,TOWED VEHICLE-POSTED TOW AREA,NORTH SPROUL LOT,37.87076,-122.261438,N/A,,
2/5/2019,11:01,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,8TH HARRISON,0,0,N/A,,
2/5/2019,11:12,TRAFFIC STOP,TRAFFIC STOP,HEARST EUCLID,37.875021,-122.260559,N/A,,
2/5/2019,11:22,TRAFFIC STOP,TRAFFIC STOP,LEROY LECONTE,0,0,N/A,,
2/5/2019,11:46,PEDESTRIAN STOP,SUSPECT STOP,BANWAY LOT,37.867904,-122.266867,N/A,,
2/5/2019,12:15,TRAFFIC STOP,TRAFFIC STOP,OXFORD UNIVERSITY,37.872187,-122.266204,N/A,,
2/5/2019,12:17,ALL OTHER OFFENSES,DISTURBING THE PEACE,DWINELLE HALL,37.870547,-122.260603,N/A,,
2/5/2019,13:31,PEDESTRIAN STOP,SUSPECT STOP,BANWAY LOT,37.867904,-122.266867,N/A,,
2/5/2019,13:54,PEDESTRIAN STOP,SUSPECT STOP,UNIVERSITY HALL WEST LOT,37.871838,-122.266959,N/A,,
2/5/2019,14:05,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,SPROUL HALL,37.869647,-122.258803,N/A,,
2/5/2019,16:13,SUPPLEMENT,SUPPLEMENT,BANCROFT ELLSWORTH,37.86817,-122.264091,"OCCURRED: 02/05/19 1618 HOURS. SUPPLEMENT UCPD CASE : 18-02282. GUIZA, MARCO (MH-37-O) ARRESTED FOR ONE UCPD MISDEMEANOR WARRANT, 2300 BLK TELEGRAPH AVE. TO BPD JAIL. SUPPLEMENT UCPD CASE 15-03132. GUIZA, MARCO (MH-37-O) ARRESTED FOR ONE UCPD MISDEMEANOR WARRANT, 2300 BLK TELEGRAPH AVE. TO BPD JAIL.",,
2/5/2019,16:23,ALL OTHER OFFENSES,WARRANT ARREST,BANCROFT ELLSWORTH,37.86817,-122.264091,"OCCURRED: 02/05/19 1618 HOURS GUIZA, MARCO (MH-37-O) ARRESTED FOR ONE BPD MISDEMEANOR WARRANT, 2300 BLK TELEGRAPH AVE. TO BPD JAIL.",,
2/5/2019,21:03,LARCENY/THEFT,AUTO BURGLARY-REPORT,EPWORTH LOT,37.86738,-122.258195,"OCCD 02/05/2019 1815-1835 (MH-52-E) REPORTS AUTO BURGLARY VIA WINDOW SMASH TO GRAY 2004 VW PASSAT, 5GKE355, EPWORTH LOT. TAKE OF A BLUE BACKPACK, LOSS $50.",,
2/5/2019,21:11,LARCENY/THEFT,PETTY THEFT -REPORT,CKC TRACK,37.864913,-122.245926,N/A,,
2/5/2019,21:31,TRAFFIC STOP,TRAFFIC STOP,HEARST/LECONTE,37.874666,-122.263868,N/A,,
2/5/2019,22:00,PEDESTRIAN STOP,SUSPECT STOP,2614 DWIGHT WAY,37.865345,-122.255598,N/A,,
,,,,,,,,,
,,,,,,,,,
