2144 Oxford,37.870141,-122.26605
LBNL-6,37.876064,-122.248745
Mike’s Bikes,37.872583,-122.26655
Milvia N Hearst,37.873626,-122.270904
805 Kinkead Way,37.883678,-122.302076
435 Gooding Way,37.884718,-122.301359
Dwight and Piedmont,37.865931,-122.25122
Sather Garage,37.867409,-122.259509
2600 Telegraph Av,37.862951,-122.258992
Hilgard Hall,37.873338,-122.263399
Hesse Hall,37.874366,-122.259358
Golf Course Dr & Grizzly Peak Blvd,37.883142,-122.246206
2224 Fulton St,37.868738,-122.266261
*****Fix Banway*****,,
